group,shape,mode,ep0,ep1,ep2,ep3,ep4,ep5,ep6,ep7,ep8,ep9,ep10
heldC,heldC_1,scratch,0.5192422866821289,0.30155569314956665,0.2903367877006531,0.27476513385772705,0.25683173537254333,0.24086663126945496,0.22192750871181488,0.20827175676822662,0.19620689749717712,0.1884971261024475,0.18098606169223785
heldC,heldC_1,GP,0.6316754221916199,0.18020915985107422,0.14971323311328888,0.13575637340545654,0.12531273066997528,0.11920652538537979,0.11541114002466202,0.11257302761077881,0.11031078547239304,0.10830279439687729,0.10696575045585632
heldC,heldC_1,spec-C,0.044124867767095566,0.030854156240820885,0.0281110517680645,0.027381647378206253,0.0265479888767004,0.0259699709713459,0.025906449183821678,0.025064170360565186,0.025132738053798676,0.02478753961622715,0.024831388145685196
heldC,heldC_2,scratch,0.5378131866455078,0.3081459701061249,0.2897256910800934,0.2673579752445221,0.24493227899074554,0.22470906376838684,0.20763066411018372,0.19483382999897003,0.18162225186824799,0.17407459020614624,0.16587287187576294
heldC,heldC_2,GP,0.6181223392486572,0.17984287440776825,0.15028786659240723,0.1344766467809677,0.12632963061332703,0.11931069195270538,0.11496414989233017,0.11136306077241898,0.10871633887290955,0.10717311501502991,0.10588150471448898
heldC,heldC_2,spec-C,0.04621076211333275,0.030212411656975746,0.028673823922872543,0.027692992240190506,0.026950588449835777,0.02649737149477005,0.025824297219514847,0.025616753846406937,0.025459647178649902,0.025394506752490997,0.025334561243653297
heldD,heldD_0,scratch,0.4813055098056793,0.28590285778045654,0.2606648802757263,0.23883306980133057,0.224603071808815,0.21336306631565094,0.20237453281879425,0.18799154460430145,0.17904390394687653,0.17192889750003815,0.16436943411827087
heldD,heldD_0,GP,0.5513938069343567,0.173932746052742,0.14589837193489075,0.13186006247997284,0.12456373125314713,0.11751581728458405,0.11400716006755829,0.11073020100593567,0.10835722088813782,0.10685192793607712,0.10580191761255264
heldD,heldD_0,spec-D,0.0435834638774395,0.029849525541067123,0.027224604040384293,0.025942804291844368,0.02531159482896328,0.025076044723391533,0.02464035525918007,0.02464146353304386,0.024225421249866486,0.023960839956998825,0.02394494228065014
heldD,heldD_1,scratch,0.48437178134918213,0.2821311354637146,0.26047125458717346,0.24713176488876343,0.2279934585094452,0.2110408991575241,0.19709695875644684,0.1814042627811432,0.17392438650131226,0.16480298340320587,0.16041424870491028
heldD,heldD_1,GP,0.5613785982131958,0.1680527925491333,0.1425786167383194,0.130651593208313,0.12322285771369934,0.11752505600452423,0.11444856226444244,0.11165691912174225,0.11012529581785202,0.10829636454582214,0.10723867267370224
heldD,heldD_1,spec-D,0.044408246874809265,0.029719378799200058,0.027632419019937515,0.02638961933553219,0.025277188047766685,0.025182142853736877,0.024929625913500786,0.02447149157524109,0.024104639887809753,0.02402852289378643,0.023875892162322998
heldD,heldD_2,scratch,0.4960877597332001,0.3011705279350281,0.26388195157051086,0.23842890560626984,0.22410209476947784,0.2136365920305252,0.19513845443725586,0.18371270596981049,0.1743500977754593,0.16734255850315094,0.1597745269536972
heldD,heldD_2,GP,0.579034149646759,0.17097385227680206,0.1448662132024765,0.1323072612285614,0.12551522254943848,0.1190466433763504,0.11522087454795837,0.11273594945669174,0.11031236499547958,0.10892409831285477,0.10795653611421585
heldD,heldD_2,spec-D,0.04447958618402481,0.02888137474656105,0.026430336758494377,0.02630230039358139,0.025281039997935295,0.024857930839061737,0.02440197952091694,0.02424744889140129,0.023732604458928108,0.023803606629371643,0.023721789941191673
stranger,strange_0,scratch,0.5039981603622437,0.3047401010990143,0.28510305285453796,0.260197252035141,0.23850172758102417,0.22120365500450134,0.20553968846797943,0.19209228456020355,0.17860430479049683,0.17065061628818512,0.16343653202056885
