eps,shape,recipe_dist,mode,ep0,ep1,ep2,ep3,ep4,ep5,ep6,ep7,ep8,ep9,ep10
0.1,r0.1_1,0.09969395409466167,warm,0.06876210123300552,0.03374477103352547,0.03186247497797012,0.029884396120905876,0.029436975717544556,0.02876436337828636,0.028359321877360344,0.027781493961811066,0.027387799695134163,0.027580466121435165,0.02723623812198639
0.1,r0.1_1,0.09969395409466167,scratch,0.4946398437023163,0.2828577756881714,0.2634066939353943,0.24351435899734497,0.22386687994003296,0.20681746304035187,0.19256098568439484,0.17696963250637054,0.1652223765850067,0.1582968533039093,0.1531318575143814
0.2,r0.2_0,0.19635698469231486,warm,0.10978337377309799,0.04962155222892761,0.04302443563938141,0.0408318005502224,0.03907057270407677,0.03771454840898514,0.03707971051335335,0.03635881841182709,0.03584920987486839,0.03540542349219322,0.03519171476364136
0.2,r0.2_0,0.19635698469231486,scratch,0.47689342498779297,0.28131410479545593,0.25658658146858215,0.23829643428325653,0.2330227792263031,0.21125175058841705,0.19749215245246887,0.18249298632144928,0.171335369348526,0.16440044343471527,0.15713877975940704
0.2,r0.2_1,0.19733763861244039,warm,0.11807652562856674,0.049177296459674835,0.04460887983441353,0.04119563102722168,0.04038961976766586,0.03924345597624779,0.03879155218601227,0.03748847916722298,0.03716128319501877,0.03675219789147377,0.036719635128974915
0.2,r0.2_1,0.19733763861244039,scratch,0.4923592805862427,0.3008842468261719,0.27530279755592346,0.24626049399375916,0.22945192456245422,0.21614839136600494,0.1979629546403885,0.18813136219978333,0.17320403456687927,0.16505946218967438,0.1588195562362671
0.4,r0.4_0,0.3757346366372429,warm,0.1959901601076126,0.08122901618480682,0.06829885393381119,0.06337828189134598,0.060087401419878006,0.05841131880879402,0.0568910613656044,0.055835168808698654,0.05495835468173027,0.05427902564406395,0.05387025699019432
0.4,r0.4_0,0.3757346366372429,scratch,0.45710593461990356,0.28357622027397156,0.2657819986343384,0.2486058920621872,0.22795914113521576,0.21038128435611725,0.1993882805109024,0.1854264736175537,0.17456820607185364,0.1662280112504959,0.16041779518127441
0.4,r0.4_1,0.37915280646338073,warm,0.21944501996040344,0.08468305319547653,0.07114529609680176,0.06496461480855942,0.0621134489774704,0.059920210391283035,0.05841611325740814,0.05636637657880783,0.055951088666915894,0.05497249215841293,0.05450691655278206
0.4,r0.4_1,0.37915280646338073,scratch,0.5272737145423889,0.3033042848110199,0.27655190229415894,0.25853630900382996,0.23741251230239868,0.2221326380968094,0.20715558528900146,0.19164536893367767,0.18112048506736755,0.17049171030521393,0.164170503616333
0.8,r0.8_0,0.6553579158926989,warm,0.3226584792137146,0.12366324663162231,0.10304947197437286,0.0943695455789566,0.08940853923559189,0.08536932617425919,0.08288318663835526,0.08099403977394104,0.07959360629320145,0.07832678407430649,0.07763770967721939
0.8,r0.8_0,0.6553579158926989,scratch,0.4398341476917267,0.28513383865356445,0.27033039927482605,0.25115644931793213,0.23236900568008423,0.21239355206489563,0.19869251549243927,0.1877155900001526,0.17771729826927185,0.169621542096138,0.16480715572834015
0.8,r0.8_1,0.662689083226323,warm,0.36248260736465454,0.12977829575538635,0.1065967008471489,0.09670992195606232,0.09032489359378815,0.08683118969202042,0.08485519886016846,0.08267437666654587,0.0808696523308754,0.07960304617881775,0.07868760824203491
0.8,r0.8_1,0.662689083226323,scratch,0.5452826619148254,0.31087952852249146,0.28970736265182495,0.2639544606208801,0.24035367369651794,0.21977916359901428,0.2045668065547943,0.18667346239089966,0.17585156857967377,0.16739699244499207,0.16055820882320404
